,0
max_power,0.6700880123893475
vehicle_age,0.13456590879858996
mileage,0.07868860412761018
km_driven,0.05484689075786365
engine,0.03478614928911678
brand,0.015480011711576959
seller_type,0.0033176472565376006
seats,0.0030239872318261916
transmission_type,0.002770745014103805
fuel_type,0.002432043423427447
